event_id,timestamp,sunlight_percent,temperature,humidity_percent,action
2432cd35,1779447600,43.86,19.9,54.55,1
bf0fbd41,1779447660,70.11,11.74,56.86,1
2fe953d1,1779447720,96.22,-9.21,82.53,0
6ce9384b,1779447780,24.57,47.66,70.33,1
6bcfd655,1779447840,43.28,-4.88,37.87,1
7245f0f8,1779447900,50.02,25.72,63.17,1
847b5150,1779447960,50.35,2.59,59.52,1
5d6f15e1,1779448020,47.13,1.44,63.1,1
09a89431,1779448080,49.18,23.89,49.13,1
71c63464,1779448140,84.71,16.45,6.81,1
5c2f648a,1779448200,81.15,-0.69,18.53,1
ae5334f4,1779448260,57.25,46.77,54.9,1
4e071ebf,1779448320,14.81,28.64,44.44,1
304723c9,1779448380,40.95,-0.63,58.61,1
b58930eb,1779448440,73.39,-8.37,85.43,1
0f6b45e1,1779448500,32.39,30.31,45.43,1
a9643db9,1779448560,36.89,29.16,69.79,1
14c16934,1779448620,41.23,4.59,55.42,1
e09dda8a,1779448680,67.77,39.81,68.89,1
e9869764,1779448740,91.16,2.3,39.86,0
c2cc604e,1779448800,64.83,-9.22,53.81,1
862e8200,1779448860,8.26,43.56,95.29,1
7936a6bb,1779448920,36.93,5.57,80.98,1
15173fc4,1779448980,82.89,6.08,24.94,1
9209f9bd,1779449040,17.99,23.12,95.1,1
807c9c44,1779449100,6.16,46.91,49.1,1
00b538b1,1779449160,36.38,42.11,67.98,1
f222ad04,1779449220,74.3,37.99,59.38,0
f994e302,1779449280,40.91,6.12,58.86,1
e4ca4b00,1779449340,100.0,5.47,73.45,0
6817b6e6,1779449400,54.27,49.06,56.32,1
4fe23d3e,1779449460,17.79,6.34,62.02,1
87e2b78c,1779449520,54.9,6.44,40.43,1
c91d2a70,1779449580,100.0,39.78,74.35,0
acebced0,1779449640,56.4,26.03,79.65,1
fe168138,1779449700,24.91,44.86,70.21,1
1216745e,1779449760,3.98,21.14,34.41,1
09b7b1b9,1779449820,41.3,26.19,63.97,1
aad4b4a6,1779449880,34.71,7.32,31.87,1
b3cefcfb,1779449940,83.53,7.83,42.32,1
e52d45eb,1779450000,26.27,29.82,100.0,1
4bbe6c7a,1779450060,52.38,2.9,63.58,1
09e3d2c0,1779450120,35.61,19.78,62.44,1
1b6290c7,1779450180,7.76,36.25,79.74,1
3c7c42a0,1779450240,49.13,31.3,95.42,1
1c8620ae,1779450300,11.05,39.15,51.99,1
a77b5607,1779450360,65.81,6.33,79.45,1
6509cef0,1779450420,5.93,-4.51,82.88,1
42ba5325,1779450480,48.14,1.11,72.41,1
8e78e856,1779450540,76.61,33.93,62.39,0
74b12418,1779450600,63.99,31.54,81.62,1
f90b80cb,1779450660,38.66,19.37,72.66,1
195d6669,1779450720,60.74,0.83,64.15,1
0a776cbd,1779450780,70.46,-7.96,62.68,1
60a88df9,1779450840,22.97,45.46,81.06,1
e5960a9c,1779450900,78.23,40.67,58.39,0
bd53015b,1779450960,73.46,-7.78,49.68,1
ba5100ef,1779451020,14.87,-2.77,70.02,1
404fd882,1779451080,55.55,10.39,50.43,1
a67d9190,1779451140,43.47,8.92,62.7,1
dfa7b89d,1779451200,86.17,9.13,63.93,1
908d69f2,1779451260,71.69,26.95,65.66,1
20372a0c,1779451320,52.06,46.34,81.31,1
60b954e0,1779451380,80.58,14.12,46.33,1
13129bd1,1779451440,100.0,42.42,52.74,0
b023d627,1779451500,7.95,34.25,24.83,1
5034be78,1779451560,39.5,11.28,54.36,1
738a5d39,1779451620,24.85,4.02,38.98,1
9e688ded,1779451680,49.13,13.06,64.68,1
2a53afc5,1779451740,23.24,47.0,73.65,1
87e85efd,1779451800,74.61,46.68,55.72,0
87418aeb,1779451860,100.0,0.02,46.72,0
1a7c41c5,1779451920,54.16,26.46,69.85,1
8f62c8d2,1779451980,10.75,0.59,61.48,1
97a3bc72,1779452040,34.42,36.78,48.89,1
18ae29ac,1779452100,37.6,48.15,56.64,1
aad373dc,1779452160,85.51,31.76,48.59,1
5abaeadd,1779452220,58.59,3.47,52.47,1
6f7ac538,1779452280,55.07,25.58,29.69,1
0c78bed9,1779452340,29.0,42.65,63.29,1
86e2868b,1779452400,34.68,43.32,52.25,1
1fd3697e,1779452460,63.59,23.05,81.67,1
91c02c2d,1779452520,45.58,12.36,44.03,1
b529fe5a,1779452580,72.1,19.75,40.99,1
e5f1999c,1779452640,37.06,41.07,64.48,1
bb69a527,1779452700,0.0,25.54,42.6,1
21dd7284,1779452760,37.76,30.68,80.88,1
647fd8d8,1779452820,9.02,42.72,69.25,1
51b1944b,1779452880,64.77,41.03,82.17,1
e2453294,1779452940,60.14,40.22,74.3,1
8f3da6a7,1779453000,76.67,27.12,83.39,1
9f60cba7,1779453060,33.77,42.85,69.61,1
9bcc3824,1779453120,45.82,10.11,62.93,1
7b8ff8df,1779453180,32.76,39.08,69.9,1
07c6ef18,1779453240,50.72,-9.62,85.57,1
68b17722,1779453300,70.44,48.87,30.21,0
b25b81f1,1779453360,16.0,28.04,74.93,1
878864fd,1779453420,87.38,-3.58,64.27,1
1439d3a7,1779453480,56.23,47.78,91.55,1
b8cc74e6,1779453540,80.22,45.92,31.17,0
4c98a8be,1779453600,38.84,8.06,63.88,1
b3643c8a,1779453660,40.93,24.93,63.49,1
e88ab21f,1779453720,79.88,-7.26,29.54,1
959ff608,1779453780,59.18,-8.52,49.48,1
1a795545,1779453840,89.14,31.0,58.68,1
abd0f6e5,1779453900,7.48,49.83,51.87,1
2c10be9d,1779453960,13.8,-0.18,16.02,1
59ba97dc,1779454020,66.22,3.25,79.75,1
618178f8,1779454080,56.1,29.27,48.72,1
0e9728b5,1779454140,44.44,46.62,37.06,1
653406db,1779454200,96.17,13.86,38.6,0
a9d3093b,1779454260,72.45,3.8,55.87,1
ae8ae10c,1779454320,18.71,41.86,88.88,1
b65d5315,1779454380,62.64,1.13,59.42,1
563b6376,1779454440,58.57,36.26,69.14,1
aeedb75a,1779454500,61.5,27.57,72.15,1
84141c23,1779454560,54.91,37.79,74.18,1
b25ca613,1779454620,24.23,-2.49,59.0,1
87fd4d71,1779454680,33.09,2.03,96.02,1
54e9846e,1779454740,31.48,24.92,59.71,1
bf6644e4,1779454800,71.02,8.62,46.95,1
4cf1ba16,1779454860,43.08,-5.65,59.49,1
3dd6137c,1779454920,38.69,26.0,11.52,1
032a7d2b,1779454980,75.59,41.61,38.13,0
55129a26,1779455040,25.83,4.52,59.05,1
f29a9ec3,1779455100,100.0,32.15,59.55,0
12fa9b61,1779455160,44.48,9.59,60.54,1
3c070c54,1779455220,28.09,11.04,60.75,1
3e92574b,1779455280,24.96,24.05,54.38,1
424aefd5,1779455340,74.72,2.01,72.47,1
4928b313,1779455400,84.98,-8.1,78.49,1
594ad830,1779455460,95.3,42.26,67.16,0
d60e0f17,1779455520,72.38,10.37,72.7,1
03d29c45,1779455580,52.86,39.04,79.0,1
220a3d49,1779455640,100.0,21.58,46.22,0
f0ca23d5,1779455700,40.76,-6.38,64.09,1
6e09767d,1779455760,33.71,42.31,50.32,1
c1f74999,1779455820,24.21,37.38,49.41,1
5d8ed646,1779455880,49.39,23.32,100.0,1
7f2a8cc2,1779455940,26.67,49.78,75.07,1
732efafa,1779456000,50.95,1.97,62.4,1
bb142092,1779456060,37.44,-8.16,64.23,1
eb9a134d,1779456120,43.57,42.1,26.63,1
a3835b0c,1779456180,73.32,15.53,77.46,1
ac9de51e,1779456240,19.36,49.26,30.71,1
fd3474ab,1779456300,10.95,33.52,100.0,1
82a9b2fc,1779456360,76.97,44.04,59.23,0
cdbeb281,1779456420,9.18,25.54,48.54,1
5055f7e4,1779456480,86.91,33.99,87.6,0
d0b32376,1779456540,60.04,44.54,46.29,1
35d7574a,1779456600,36.24,48.28,46.57,1
223415f0,1779456660,58.1,19.54,54.17,1
44dda68d,1779456720,63.59,16.72,52.59,1
4b840c46,1779456780,0.0,25.58,64.7,1
3ef635b8,1779456840,40.94,48.16,37.61,1
0c6e7060,1779456900,70.18,9.51,35.08,1
4dbeb819,1779456960,38.31,48.19,66.93,1
37489996,1779457020,11.1,-5.59,54.55,1
1babe9ae,1779457080,51.92,10.22,34.34,1
bbd66ee6,1779457140,43.52,4.92,84.67,1
a66a492a,1779457200,87.52,0.02,77.0,1
8d8d35cf,1779457260,71.18,18.48,84.45,1
77c2b181,1779457320,59.55,25.12,68.6,1
53dc7aae,1779457380,42.42,-3.28,67.59,1
3f705c23,1779457440,48.21,21.87,59.26,1
d492b742,1779457500,46.73,46.03,39.3,1
f0096678,1779457560,51.97,-7.51,20.04,1
dd2dddde,1779457620,53.48,42.08,69.05,1
0cf0da0a,1779457680,74.95,19.33,2.07,1
40600344,1779457740,28.22,-8.2,68.07,1
72fee340,1779457800,77.7,2.11,39.2,1
77d63a7b,1779457860,56.91,16.63,46.99,1
75259320,1779457920,45.23,31.56,64.35,1
85f83c24,1779457980,49.23,27.07,100.0,1
befa1e3d,1779458040,55.03,-8.18,81.01,1
29a3a231,1779458100,54.94,30.59,68.98,1
de0debc6,1779458160,65.97,13.63,37.14,1
39923acd,1779458220,30.71,29.47,65.93,1
c82aeb7c,1779458280,48.4,42.25,66.58,1
d5d1a001,1779458340,58.52,34.31,88.7,1
da04f384,1779458400,43.9,9.62,79.28,1
91a7b5dc,1779458460,76.17,35.74,71.4,0
d8742cc5,1779458520,42.56,39.07,87.51,1
75a695f9,1779458580,53.01,-9.65,39.43,1
c3c8e710,1779458640,22.59,13.77,31.2,1
a84a3278,1779458700,27.87,16.92,91.05,1
18d75d7b,1779458760,34.03,3.64,33.54,1
db4e913c,1779458820,54.24,30.09,46.0,1
de7d0138,1779458880,32.8,12.79,100.0,1
1d8dd314,1779458940,51.48,18.75,82.52,1
f3750ba1,1779459000,15.26,24.81,27.09,1
274dcc8b,1779459060,100.0,35.89,74.5,0
04e99d95,1779459120,64.87,47.33,77.07,1
c4025e82,1779459180,43.68,45.62,67.84,1
61d0e54c,1779459240,31.15,19.15,54.39,1
dfe04971,1779459300,28.24,8.44,40.31,1
ba6f1b37,1779459360,54.5,8.68,87.84,1
0ffcf2b9,1779459420,87.86,6.36,75.46,1
0cc76c1a,1779459480,25.44,0.87,55.51,1
1744c521,1779459540,25.77,21.51,71.02,1
6b77c130,1779459600,34.97,24.04,66.4,1
6c5f86c9,1779459660,84.94,23.01,58.5,1
1978ed3e,1779459720,53.13,47.08,51.41,1
4e67c558,1779459780,80.15,43.05,67.68,0
1074df4f,1779459840,32.45,26.66,46.74,1
7683d78d,1779459900,78.74,44.0,53.98,0
2f3e1e8b,1779459960,18.9,36.83,46.14,1
eacdc9db,1779460020,70.07,15.42,48.79,1
a68fd1c2,1779460080,33.16,27.43,65.58,1
4e8a0fca,1779460140,100.0,0.08,35.24,0
33c683dd,1779460200,65.84,3.0,68.28,1
f3a7b5ee,1779460260,80.61,22.8,92.47,1
b0cf1106,1779460320,36.06,25.67,32.6,1
f381fb73,1779460380,57.86,-1.81,59.96,1
1a48f291,1779460440,29.91,15.69,92.78,1
9d60edba,1779460500,74.41,49.48,82.08,0
3926b6bc,1779460560,64.22,6.45,92.57,1
672da137,1779460620,22.48,11.3,45.77,1
16221eac,1779460680,50.85,-5.94,44.6,1
a9675e93,1779460740,34.45,22.4,74.03,1
3e262fd3,1779460800,58.27,21.98,76.67,1
7c20f3a6,1779460860,20.68,30.17,35.33,1
f8182efe,1779460920,91.81,17.91,68.38,0
7e0c542f,1779460980,52.41,47.46,46.38,1
3faf3d54,1779461040,63.47,2.06,41.59,1
1013bd16,1779461100,27.13,17.02,61.63,1
03b9e1eb,1779461160,31.61,29.89,84.72,1
ded0e5a1,1779461220,36.65,-0.86,31.86,1
438ed779,1779461280,80.33,21.26,62.83,1
796a1ffb,1779461340,31.27,35.32,64.51,1
1acfec29,1779461400,53.34,36.92,56.95,1
4abef2f4,1779461460,23.24,11.61,42.21,1
ab2a96af,1779461520,4.09,13.82,70.16,1
ea6dc2d9,1779461580,100.0,20.94,37.37,0
b29ab8a2,1779461640,49.85,49.53,76.77,1
209396f3,1779461700,40.38,45.84,69.28,1
8e01e9b5,1779461760,52.05,12.84,58.02,1
07e5f1ce,1779461820,64.21,8.28,71.99,1
82056fa4,1779461880,45.63,0.41,44.89,1
9ca5c109,1779461940,24.09,48.54,86.26,1
4d19c74e,1779462000,77.15,-2.05,69.49,1
56cfd974,1779462060,100.0,35.89,54.0,0
b0ab42db,1779462120,50.26,13.92,33.76,1
90b7fa53,1779462180,40.71,-5.91,40.15,1
0ece5743,1779462240,51.42,47.95,70.59,1
3dc58bc5,1779462300,4.94,20.37,47.07,1
56090dfe,1779462360,26.52,28.45,57.12,1
2879b619,1779462420,63.5,29.01,34.35,1
14c89577,1779462480,44.66,-6.51,89.81,1
8bac720e,1779462540,35.91,-2.72,51.78,1
efb0c206,1779462600,34.66,31.53,53.95,1
66a2f837,1779462660,50.39,49.8,45.43,1
9efa5bad,1779462720,60.92,8.38,83.81,1
fa1f6795,1779462780,62.49,15.57,100.0,1
a8a3478a,1779462840,15.83,12.07,55.5,1
ac26e462,1779462900,80.2,34.02,53.67,0
3f809fb8,1779462960,35.59,-8.85,8.18,1
baf4fe9e,1779463020,71.58,-1.77,44.07,1
9a4dca94,1779463080,13.03,-9.27,63.67,1
2408ea09,1779463140,25.15,22.88,59.38,1
103c4ef9,1779463200,79.91,-4.12,56.83,1
619d8187,1779463260,20.17,9.48,59.2,1
ad430554,1779463320,45.68,12.55,94.23,1
27b48a43,1779463380,28.13,37.1,14.47,1
5ee1d9f7,1779463440,33.27,31.29,80.8,1
12124dcc,1779463500,10.02,40.45,51.87,1
c2327a60,1779463560,100.0,29.56,47.89,0
75d61735,1779463620,56.91,26.84,75.99,1
af634552,1779463680,50.8,-0.99,44.93,1
d7edef9c,1779463740,52.22,30.81,94.44,1
18771634,1779463800,40.87,-5.72,63.69,1
423469f2,1779463860,29.94,7.79,85.98,1
4b3f3f88,1779463920,80.01,29.68,46.86,1
b8d3c3b5,1779463980,38.71,-4.1,51.28,1
e6ea468c,1779464040,79.64,5.9,74.38,1
837628e2,1779464100,65.18,12.92,86.22,1
e17ca1fb,1779464160,41.93,26.9,54.98,1
6df3836d,1779464220,66.04,21.82,84.49,1
88ea1450,1779464280,33.91,48.8,78.56,1
7b9d40d5,1779464340,86.39,34.88,95.99,0
eabba3ae,1779464400,63.46,-2.31,81.45,1
b553d9fe,1779464460,63.92,3.48,55.79,1
d10b84d7,1779464520,23.88,16.36,20.67,1
23211a1d,1779464580,64.49,4.44,62.95,1
4fbfbdc9,1779464640,44.47,43.22,54.46,1
5f923c31,1779464700,16.49,38.96,78.26,1
e0e9a799,1779464760,45.82,35.3,65.65,1
07644448,1779464820,80.34,33.71,57.2,0
92340b1a,1779464880,66.57,0.65,83.47,1
be13a797,1779464940,58.16,46.24,60.61,1
c05c8ebd,1779465000,59.99,39.07,46.97,1
7b27af96,1779465060,50.76,40.44,30.16,1
c34e6d9f,1779465120,57.72,25.42,94.04,1
ac0c4a03,1779465180,2.52,23.9,61.57,1
cd1fa42e,1779465240,68.83,28.18,67.62,1
1c5cdff2,1779465300,34.44,17.69,69.56,1
c35f5383,1779465360,44.77,38.0,42.99,1
aee52205,1779465420,56.52,33.98,31.99,1
dc3314ce,1779465480,20.1,11.32,68.89,1
10994de3,1779465540,56.95,-9.69,89.1,1
816aeadd,1779465600,30.38,47.48,72.97,1
39d1c82f,1779465660,13.75,-1.07,37.87,1
ed119975,1779465720,68.06,49.78,52.54,1
aea4f1a8,1779465780,29.57,33.32,18.12,1
69059976,1779465840,55.62,13.49,78.65,1
c9044808,1779465900,92.03,-9.81,44.98,0
